Equity,PE,PB,PEG,Free_CASH,SI_INT,DIV_PAY,QUICK_RATIO,ALT_SCORE,MKT_TO_BOOK,DEBT_TO_EBITBA,M3_LOW_VOL
PCH,34.641,5.3952,5.372,2.8145,5.65,431.8047,0.2644,1.3952,5.3948,6.534,FALSE
TGT,14.8262,3.247,1.383,10.0879,7.75,73.9496,0.1427,3.5701,3.3216,1.7891,FALSE
RJF,12.855,1.3114,0.702,13.0824,2.39,24.2787,0.3206,,1.289,1.6482,FALSE
DE,14.1054,3.7359,3.33,1.5259,11.67,55.1822,0.3749,0.8995,3.7466,7.6096,FALSE
RLI,24.0364,3.2145,0,5.3962,7.86,74.7248,0.4084,,3.2027,7.7923,FALSE
D,20.4655,3.3146,2.734,-2.6199,3.78,108.225,0.2225,1.027,3.3109,5.5622,FALSE
RRD,8.1556,3.9668,2.106,16.2428,7.26,76.6085,1.0225,2.2754,3.9649,3.2868,FALSE
ROL,35.7841,10.3765,1.916,2.8843,7.28,123.9261,0.9023,16.145,10.3783,0,TRUE
DOV,15.0657,2.4723,1.439,8.7245,3.54,47.6622,1.0845,5.3844,2.4717,2.2186,FALSE
DOW,13.2487,2.4352,2.271,7.2637,2.22,14.4169,1.1284,2.7694,2.526,1.7669,FALSE
SJI,17.9994,1.7913,0,-8.7929,5.6,35.9925,0.2726,0.8808,1.7492,5.9191,TRUE
DUK,17.8323,1.3669,3.55,-0.165,2.38,118.2922,0.1368,0.7431,1.3676,4.8109,FALSE
SWX,20.9038,1.7758,4.111,2.1537,4.86,29.0199,0.7947,1.2497,1.7757,2.8448,TRUE
ETN,11.7608,1.646,1.52,7.3708,1.2,47.7011,0.8484,4.0134,1.6603,2.5862,FALSE
SMP,16.5008,2.0187,0,5.9004,6.56,58.7938,0.5848,4.8988,2.0207,0.5081,FALSE
ECL,24.5661,4.5921,1.746,3.8784,4.51,49.5596,0.5212,4.2763,4.5813,2.6708,FALSE
CAA,11.0391,0.903,0.43,-15.2303,8.87,0,0.1873,2.3009,0.903,8.5749,FALSE
PKI,21.1283,2.2545,1.368,5.3797,2.73,11.5055,1.2056,6.2374,2.2525,2.4984,FALSE
SXI,14.0039,2.334,1.175,7.712,2.48,14.2767,1.6941,6.394,2.3591,1.1127,FALSE
EMC,19.0667,2.2215,1.19,9.5477,1.26,30.9987,1.0285,3.6737,2.2178,1.4264,FALSE
SF,12.264,0.8205,0.762,-22.1538,4.66,0,,,0.8509,10.6444,FALSE
EMR,14.5782,4.0461,2.076,5.8807,3.7,88.8252,0.8475,4.7374,4.0462,1.527,FALSE
RGR,19.3903,5.1365,3.189,7.172,5.39,27.3418,1.7415,,5.1332,0,TRUE
EOG,0,2.7865,0,-3.9631,2.76,,0.9065,1.7151,2.7858,,FALSE
SUP,17.3777,1.1766,1.572,4.0407,4.81,58.1557,2.2417,5.086,1.1853,0,TRUE
ETR,11.8103,1.3632,7.376,1.8756,2.37,152.2797,0.7254,0.5946,1.3632,7.618,FALSE
EFX,25.7312,4.7883,1.348,5.3881,3.56,30.7364,0.7339,9.625,4.7792,1.3371,FALSE
THO,10.8127,2.2591,0.687,7.638,6.71,31.0292,1.146,9.8898,2.2591,0,FALSE
EQT,86.0097,1.7116,0,-14.0132,1.39,34.7913,1.2454,1.4546,1.7114,0,FALSE
WBA,16.4303,2.649,1.328,4.4181,2.38,35.3189,0.5565,5.4764,2.6321,2.1039,FALSE
TR,30.0189,2.773,0,3.8543,61.06,27.0618,3.0434,7.2253,2.7912,0.0728,TRUE
XL,14.7375,0.8774,1.144,5.9367,2.47,26.0021,,,0.8864,,FALSE
TTC,19.335,8.5077,1.265,5.1285,3.23,70.1155,0.6703,7.2488,8.5733,1.0439,FALSE
TG,12.0593,1.5278,0,9.9668,10.09,42.0371,0.5604,6.5756,1.5274,1.1204,FALSE
FDX,13.0031,2.3944,0.823,1.7648,2.29,10.0941,1.5984,3.3924,2.386,1.8435,FALSE
UGI,18.3024,2.2777,2.172,10.4008,2.86,13.4122,0.676,2.0929,2.2777,1.9096,TRUE
M,10.2478,2.8847,1.471,9.8939,2.13,99.2441,0.0864,2.9646,2.9225,2.2596,FALSE
UNF,16.4394,1.5762,1.658,6.3562,3.94,20.6603,0.291,7.8293,1.5768,2.4635,FALSE
FMC,14.6087,2.4737,1.8,-10.1034,6.39,,1.328,2.1817,2.4731,32.8076,FALSE
UNT,0,0.2867,0,-31.308,5.15,,0.5353,-0.9506,0.2867,,FALSE
F,5.9274,1.573,0.525,27.7623,2.97,22.4105,0.5168,0.8442,1.5727,8.5092,TRUE
SXT,17.9605,2.9132,0,1.8904,4.86,62.7528,1.1462,4.7083,2.9419,2.9612,FALSE
MDLZ,22.0585,2.0898,1.811,3.7761,1.07,,0.4124,3.4187,2.1019,1.5727,TRUE
NEE,20.5403,2.3556,2.936,-4.4272,3.06,70.1657,0.233,1.0838,2.3533,3.789,FALSE
UHT,26.736,3.2518,0,5.2034,7.92,197.2052,,,3.2515,5.8995,TRUE
BEN,10.3214,1.6213,2.929,9.7031,3.49,24.1672,,,1.6143,0.684,FALSE
UVV,16.2041,1.035,0,15.0311,11.72,29.4759,1.4973,3.5653,1.035,2.1824,FALSE
FCX,0,0.7959,0,-58.322,3.81,,0.212,-0.8818,0.7383,,FALSE
TGNA,10.5986,2.1424,1.59,9.7363,7.02,19.8199,1.1298,5.8113,2.1613,3.1514,FALSE
WGL,19.0469,2.6248,2.696,0.0657,7.14,33.7911,0.3757,,2.6256,3.9393,FALSE
GPS,9.7105,3.6299,1.193,9.1878,5.51,37.6532,0.3764,4.8221,3.6748,0.7644,FALSE
AVA,19.9813,1.5454,3.645,-0.7912,7.93,42.9907,0.5404,0.9796,1.5452,0.8123,TRUE
GD,14.6112,3.8513,1.576,4.5215,1.7,28.2954,0.5007,4.0448,3.8288,0.7294,FALSE
WRI,26.9821,3.108,0,-1.4329,4.06,90.0226,,4.1614,3.1078,6.3916,FALSE
GIS,19.1426,5.9114,2.475,6.402,3.53,49.8085,0.4248,4.9407,5.9119,2.8099,FALSE
WST,39.2757,3.9218,1.512,2.0121,8.99,72.4534,1.4508,6.0639,3.9103,2.7532,TRUE
GPC,18.6185,4.1205,2.686,8.0187,5.67,57.4116,0.5162,5.2467,4.1393,0.4939,FALSE
WWW,11.2964,1.6858,1.136,10.3754,4.05,52.2124,1.3954,4.9241,1.7616,3.2826,FALSE
ASGN,20.2277,2.1337,0.614,5.6125,2.8,0,2.3616,8.22,2.1246,3.7093,TRUE
BOBE,24.7022,3.3842,1.905,8.7123,10.16,110.4183,0.2294,2.3325,3.5091,4.3471,FALSE
GWW,17.5895,5.7411,1.794,4.5327,10.33,54.4063,0.2318,5.7821,5.8114,4.1673,FALSE
CBRL,18.5722,5.6704,1.797,5.6096,12.82,64.486,0.4236,,5.6702,1.1804,FALSE
HAL,18.9419,1.6381,7.879,2.8635,2.95,54.5823,0.5747,2.5407,1.6426,1.179,FALSE
HNI,12.1911,2.909,0,6.5438,7.05,36.3063,0.6337,4.9075,2.9105,0.8634,FALSE
HOG,10.6643,3.8872,0.859,10.4662,6.78,139.3523,1.1147,1.8245,4.0371,5.0898,FALSE
KELYA,12,0.7075,0,1.0077,5.85,5.5556,1.448,4.3506,0.7049,0.6236,FALSE
HAR,12.6144,1.9676,0.618,2.7202,2.34,22.3455,0.7359,3.9044,1.9677,1.4893,FALSE
LNCE,32.1611,1.9114,0,4.5753,10.05,160.6475,1.1815,5.1391,1.9114,2.4149,FALSE
JOY,8.4056,0.7831,2.651,40.5246,5.5,,1.0044,0.7111,0.7831,,FALSE
MENT,15.5216,1.4432,1.068,9.5932,4.59,43.7263,0.9487,0.9719,1.4751,1.0079,FALSE
HRS,13.5697,2.7833,0,10.8634,1.84,10.6259,1.9561,3.1604,2.7887,1.3803,FALSE
MLHR,11.8515,2.9555,0,6.3045,3.9,25.5447,0.7511,6.0988,2.9501,1.0822,FALSE
HCP,15.5576,1.4114,5.516,-4.0321,2.22,31.6599,,,1.4115,25.8873,FALSE
SON,15.9051,2.6855,3.161,6.3626,4.63,63.9356,0.8785,4.119,2.6854,1.8955,FALSE
HP,38.7595,1.0738,0,8.8574,7.51,474.1543,3.1063,,1.0738,0.5349,FALSE
ESND,15.935,1.4249,0.58,12.7829,11.39,,1.0522,4.2602,1.4301,8.6911,FALSE
HSY,21.6766,19.51,2.528,4.5098,3.47,59.3527,0.4263,4.9355,19.5115,1.8727,FALSE
AAON,24.2374,5.9555,1.358,2.9395,15.53,45.6048,1.6216,5.0765,6.0769,0,TRUE
FL,14.8026,3.4145,1.025,5.8294,9.99,43.75,1.3303,8.9783,3.4216,0.1372,TRUE
HRL,29.1862,5.2717,3.82,3.9926,4.18,21.9778,1.4586,10.4323,5.2626,0.132,TRUE
ABAX,34.0163,3.7699,1.396,2.053,6.25,32.583,0.9116,25.5526,3.7551,0.0082,FALSE
HOT,19.3225,7.969,2.677,6.109,2,37.9518,0.7916,2.5673,7.9803,2.3127,FALSE
ARCB,11.2802,0.8565,0.517,13.3257,2.06,42.415,1.2874,3.733,0.8565,1.2609,FALSE
CNP,16.8767,2.3047,3.114,3.5237,2.06,,0.7868,0.7393,2.3061,4.6316,TRUE
PNRA,29.159,9.1851,2.039,2.0027,2.29,0,0.7012,6.0799,9.3532,1.0775,FALSE
LECO,16.0977,4.238,1.766,6.277,4.74,42.5518,1.5371,5.7683,4.3705,1.4433,FALSE
HUM,21.4923,2.2865,1.494,1.465,1.94,42.5743,1.3492,4.9955,2.2855,1.6071,FALSE
ACAT,0,0.9624,1.824,-18.5633,3.96,,0.5384,4.1884,0.9624,,FALSE
ITW,17.6019,6.2911,2.147,6.0784,4.31,44.4444,2.2352,5.4003,6.2873,2.2195,FALSE
IR,13.8831,2.2524,1.498,4.5147,0.86,32.8106,0.7914,4.5707,2.2507,2.3264,FALSE
AVD,57.2273,1.3691,2.268,19.8586,11.91,0,1.0272,3.9305,1.3679,2.055,TRUE
IPG,16.949,4.2053,2.373,6.3078,2.01,18.5555,0.7741,1.8309,4.2382,1.7128,TRUE
HWAY,294.1253,1.4514,2.843,6.4803,6.75,,0.6786,2.8897,1.4497,4.4906,FALSE
IFF,22.2694,5.8787,2.671,3.5407,3.34,62.5657,0.97,5.8663,5.8954,1.6035,FALSE
AIRM,13.8479,2.6241,0.722,1.4519,42.63,0,2.5531,3.1252,2.6443,2.4803,TRUE
AAN,10.8962,1.1135,0.733,6.9945,2.46,8.3536,0.4936,4.4197,1.1134,1.9309,TRUE
JEC,10.7881,1.0123,1.661,6.8243,2.42,0,1.6068,4.8993,1.0103,1.2725,FALSE
JCI,10.3518,2.1799,0.974,2.5578,1.84,41.7407,0.545,5.4097,2.1799,2.4901,FALSE
K,20.1487,11.7442,4.777,4.512,2.38,,0.246,3.1443,11.891,4.7748,FALSE
CIEN,54.4333,3.8993,0.775,8.1128,5.63,,2.2141,-0.9384,3.8526,5.394,FALSE
KMB,22.606,0,2.564,2.6257,2.82,96.3243,2.4327,3.4527,-272.8508,5.0181,FALSE
BEAV,13.5615,76.4424,0.875,5.4058,2.58,23.5012,0.6187,3.9455,77.4246,3.7837,FALSE
KIM,12.8071,2.6307,5.255,-3.3196,3.05,29.1581,,,2.63,7.8133,FALSE
BELFB,9.6308,0.7553,0,0,9.76,29.5892,1.3201,,0.7348,,FALSE
KSS,10.26,1.4024,1.553,10.1918,2.6,71.625,0.1272,2.9423,1.4312,1.9888,FALSE
KR,17.6626,5.2317,1.575,4.2162,3.09,28.4291,0.2605,4.943,5.2735,1.893,FALSE
BHE,13.3087,0.8074,0,10.0862,2.67,18.1449,0.1549,4.2905,0.8131,2.1322,TRUE
LM,8.3653,0.6517,0.411,15.9738,1.99,,,,0.6517,5.3602,FALSE
BIO,31.454,1.4696,3.07,2.0387,9.88,0,2.6685,4.4123,1.4665,1.4604,FALSE
LEG,17.2147,5.1162,0,4.4447,4.5,55.6124,1.103,5.3985,5.1349,1.5821,FALSE
BKE,9.3693,3.3647,1.393,0,16.08,30.8049,1.4976,,3.3665,0,FALSE
LEN,11.2056,1.4361,0.541,-6.7452,6.6,110.6388,1.9261,2.7647,1.3979,4.4483,FALSE
LUK,17.0158,0.5216,0.903,-18.8453,4.53,5.8382,0.8132,0.4252,0.5211,19.7378,FALSE
BMI,32.5144,3.8708,0,1.8059,9.71,52.5104,0.6199,7.3209,3.8676,1.1333,FALSE
LLY,25.6507,5.5934,1.762,2.1793,2.72,111.2973,0.9577,4.3887,5.6076,1.9379,FALSE
BRC,10.7456,1.9107,1.547,10.5182,8.24,54.5367,1.5873,4.9267,1.9234,1.6954,FALSE
LB,20.633,0,1.774,4.7884,2.42,66.7103,1.7235,4.9883,-91.982,1.6404,FALSE
LNC,5.5979,0.6052,0.518,26.6205,1.46,21.7371,,4.9841,0.6143,,FALSE
L,20.4311,0.7041,0,15.6125,3.87,,,,0.7341,,FALSE
CATO,13.7339,2.2486,0,7.2785,3.64,100.8188,1.714,6.2252,2.2506,0,FALSE
LOW,19.4598,7.6269,0.954,5.9289,0.83,72.9991,0.1139,4.204,7.6697,1.818,FALSE
CAKE,19.7335,3.9172,1.248,3.5444,8.33,35.8882,0.0679,4.0568,3.9273,1.9288,FALSE
WRB,14.9931,1.3775,1.664,12.8771,6.03,13.4807,,,1.3772,,TRUE
HST,18.8767,1.4711,3.177,3.3221,4.41,92.4172,,,1.4736,2.9407,FALSE
MMC,18.3022,4.4297,1.412,5.4065,2.48,43.2674,1.3066,4.6816,4.4276,1.5531,FALSE
